Calendar_Year,Month,Policing_District,Incident_Count
2008,Apr,Northern Ireland,7056
2008,Apr,Belfast City,2092
2008,Apr,Lisburn & Castlereagh City,428
2008,Apr,Ards & North Down,579
2008,Apr,Newry Mourne & Down,535
2008,Apr,Armagh City Banbridge & Craigavon,638
2008,Apr,Mid Ulster,314
2008,Apr,Fermanagh & Omagh,281
2008,Apr,Derry City & Strabane,555
2008,Apr,Causeway Coast & Glens,540
2008,Apr,Mid & East Antrim,562
2008,Apr,Antrim & Newtownabbey,532
2008,Apr,No Policing District Assigned,0
2008,May,Northern Ireland,9129
2008,May,Belfast City,2743
2008,May,Lisburn & Castlereagh City,588
2008,May,Ards & North Down,833
2008,May,Newry Mourne & Down,766
2008,May,Armagh City Banbridge & Craigavon,778
2008,May,Mid Ulster,484
2008,May,Fermanagh & Omagh,444
2008,May,Derry City & Strabane,615
2008,May,Causeway Coast & Glens,644
2008,May,Mid & East Antrim,617
2008,May,Antrim & Newtownabbey,617
2008,May,No Policing District Assigned,0
2008,Jun,Northern Ireland,7344
2008,Jun,Belfast City,2094
2008,Jun,Lisburn & Castlereagh City,420
2008,Jun,Ards & North Down,620
2008,Jun,Newry Mourne & Down,599
2008,Jun,Armagh City Banbridge & Craigavon,683
2008,Jun,Mid Ulster,386
2008,Jun,Fermanagh & Omagh,361
2008,Jun,Derry City & Strabane,568
2008,Jun,Causeway Coast & Glens,602
2008,Jun,Mid & East Antrim,482
2008,Jun,Antrim & Newtownabbey,529
2008,Jun,No Policing District Assigned,0
2008,Jul,Northern Ireland,8142
2008,Jul,Belfast City,2289
2008,Jul,Lisburn & Castlereagh City,381
2008,Jul,Ards & North Down,563
2008,Jul,Newry Mourne & Down,609
2008,Jul,Armagh City Banbridge & Craigavon,760
2008,Jul,Mid Ulster,448
2008,Jul,Fermanagh & Omagh,428
2008,Jul,Derry City & Strabane,732
2008,Jul,Causeway Coast & Glens,724
2008,Jul,Mid & East Antrim,602
2008,Jul,Antrim & Newtownabbey,606
2008,Jul,No Policing District Assigned,0
2008,Aug,Northern Ireland,8035
2008,Aug,Belfast City,2260
2008,Aug,Lisburn & Castlereagh City,423
2008,Aug,Ards & North Down,426
2008,Aug,Newry Mourne & Down,602
